sentence,skill,label,split,notes
"Built backend services with Python for internal finance tools.","Python",positive,train,"direct project evidence"
"Developed SQL queries for daily reporting dashboards.","SQL",positive,train,"direct query evidence"
"Used Git and GitHub pull requests for code review.","Git",positive,train,"workflow evidence"
"Packaged the API service with Docker for deployment.","Docker",positive,train,"deployment evidence"
"Maintained AWS Lambda jobs for file processing.","AWS",positive,train,"cloud service evidence"
"Created PostgreSQL views for analyst reporting.","PostgreSQL",positive,train,"database evidence"
"Implemented REST API endpoints with FastAPI.","REST API",positive,train,"api evidence"
"Implemented REST API endpoints with FastAPI.","FastAPI",positive,train,"framework evidence"
"Wrote Pandas scripts to clean transaction records.","Pandas",positive,train,"library evidence"
"Used Linux servers to troubleshoot scheduled jobs.","Linux",positive,train,"environment evidence"
"Automated backups with Bash scripts.","Bash",positive,train,"scripting evidence"
"Configured CI/CD pipelines with GitHub Actions.","CI/CD",positive,train,"pipeline evidence"
"Configured CI/CD pipelines with GitHub Actions.","GitHub Actions",positive,train,"tool evidence"
"Managed Kubernetes deployments for microservices.","Kubernetes",positive,train,"orchestration evidence"
"Built Airflow DAGs for scheduled data workflows.","Airflow",positive,train,"workflow evidence"
"Processed streaming events with Kafka consumers.","Kafka",positive,train,"streaming evidence"
"Created dashboards in Power BI for operations managers.","Power BI",positive,train,"analytics evidence"
"Analyzed customer churn using scikit-learn models.","Scikit-learn",positive,train,"ml evidence"
"Fine-tuned BERT models for text classification.","BERT",positive,train,"nlp evidence"
"Built NLP preprocessing pipelines for resume parsing.","Natural Language Processing",positive,train,"nlp evidence"
"Used Terraform modules to provision cloud resources.","Terraform",positive,train,"infrastructure evidence"
"Maintained Jenkins jobs for nightly builds.","Jenkins",positive,train,"ci tool evidence"
"Created MongoDB collections for event metadata.","MongoDB",positive,train,"database evidence"
"Optimized Redis caching for high traffic endpoints.","Redis",positive,train,"cache evidence"
"Built React components for an internal admin dashboard.","React",positive,train,"frontend evidence"
"Wrote TypeScript types for shared API contracts.","TypeScript",positive,train,"language evidence"
"Developed Node.js services for notification delivery.","Node.js",positive,train,"runtime evidence"
"Implemented Django views for customer support tools.","Django",positive,train,"framework evidence"
"Created Flask APIs for analytics experiments.","Flask",positive,train,"framework evidence"
"Maintained Java Spring Boot services in production.","Spring Boot",positive,train,"framework evidence"
"Used Azure storage queues in a reporting platform.","Azure",positive,train,"cloud evidence"
"Ran data engineering jobs with Spark and PySpark.","Spark",positive,train,"big data evidence"
"Built Tableau reports for sales leadership.","Tableau",positive,train,"bi evidence"
"Performed statistical analysis for A/B experiments.","Statistics",positive,train,"analysis evidence"
"Used NumPy arrays for numerical feature processing.","NumPy",positive,train,"library evidence"
"Trained PyTorch models for document classification.","PyTorch",positive,train,"ml framework evidence"
"Built TensorFlow prototypes for image classification.","TensorFlow",positive,train,"ml framework evidence"
"Used Hugging Face transformers for sentence embeddings.","Hugging Face",positive,train,"library evidence"
"Maintained MySQL tables for inventory tracking.","MySQL",positive,train,"database evidence"
"Wrote Microsoft SQL Server stored procedures.","Microsoft SQL Server",positive,train,"database evidence"
"Created Elasticsearch indexes for search features.","Elasticsearch",positive,train,"search evidence"
"Built GraphQL resolvers for product data.","GraphQL",positive,train,"api evidence"
"Designed microservices for billing and invoicing.","Microservices",positive,train,"architecture evidence"
"Worked in Agile sprints with product and QA teams.","Agile",positive,train,"process evidence"
"Led code review meetings for junior developers.","Leadership",positive,train,"leadership evidence"
"Communicated technical risks to non technical stakeholders.","Communication",positive,train,"soft skill evidence"
"Collaborated with analysts and engineers on data quality issues.","Teamwork",positive,train,"collaboration evidence"
"Solved production incidents by tracing logs and database state.","Problem Solving",positive,train,"problem solving evidence"
"Used Docker Compose to run services locally.","Docker",positive,validation,"container evidence"
"Deployed FastAPI applications on AWS ECS.","AWS",positive,validation,"cloud deployment evidence"
"Created Airflow tasks for a daily ETL pipeline.","Airflow",positive,validation,"scheduler evidence"
"Built Kafka producers for event ingestion.","Kafka",positive,validation,"streaming evidence"
"Wrote SQL transformations for finance datasets.","SQL",positive,validation,"query evidence"
"Used Git branches to manage release fixes.","Git",positive,validation,"version control evidence"
"Maintained Python ETL scripts for reporting.","Python",positive,test,"language evidence"
"Configured Kubernetes health checks for services.","Kubernetes",positive,test,"orchestration evidence"
"Used Pandas and NumPy for data cleaning.","Pandas",positive,test,"data library evidence"
"Created REST API documentation for client integrations.","REST API",positive,test,"api evidence"
"Implemented CI/CD releases with Jenkins.","Jenkins",positive,test,"ci tool evidence"
"Built PostgreSQL indexes to improve query speed.","PostgreSQL",positive,test,"database evidence"
"I do not have AWS experience.","AWS",negated,train,"explicit negation"
"No hands-on Docker experience is listed in my background.","Docker",negated,train,"explicit no experience"
"I have not worked with Kubernetes in production.","Kubernetes",negated,train,"not worked with"
"My projects did not use Airflow.","Airflow",negated,train,"did not use"
"I am not experienced with Kafka streaming systems.","Kafka",negated,train,"not experienced"
"I have never configured Jenkins pipelines.","Jenkins",negated,train,"never configured"
"I have no professional experience with Terraform.","Terraform",negated,train,"no professional experience"
"I did not deploy services on Azure.","Azure",negated,train,"did not deploy"
"I have not used Google Cloud in any project.","Google Cloud",negated,train,"not used"
"No React work was part of my previous role.","React",negated,train,"no work"
"I have not written TypeScript code professionally.","TypeScript",negated,train,"not written professionally"
"I do not know GraphQL.","GraphQL",negated,train,"do not know"
"I have never maintained MongoDB databases.","MongoDB",negated,train,"never maintained"
"I have not used Redis caching.","Redis",negated,train,"not used"
"I did not work with Elasticsearch.","Elasticsearch",negated,train,"did not work"
"I have no experience with Spark or Hadoop.","Spark",negated,train,"no experience"
"I have no experience with Spark or Hadoop.","Hadoop",negated,train,"no experience"
"I have not built machine learning models.","Machine Learning",negated,train,"not built"
"I have not trained BERT or transformer models.","BERT",negated,train,"not trained"
"I have not trained BERT or transformer models.","Transformer Models",negated,train,"not trained"
"I did not use PyTorch in my previous projects.","PyTorch",negated,train,"did not use"
"I did not use TensorFlow in my previous projects.","TensorFlow",negated,train,"did not use"
